run_id,preset,serving_mode,workload,arrival_rate,repeat,seed,status,return_code,elapsed_s,output_csv,error_msg
formal-mixed_50p50d-real_pd_nixl_1p3d-r8-rep1,formal,real_pd_nixl_1p3d,mixed_50p50d,8.0,1,42,success,0,87.122,outputs/metrics/real4gpu/online_formal-mixed_50p50d-real_pd_nixl_1p3d-r8-rep1.csv,
formal-mixed_70p30d-real_pd_nixl_1p3d-r1-rep1,formal,real_pd_nixl_1p3d,mixed_70p30d,1.0,1,42,success,0,223.893,outputs/metrics/real4gpu/online_formal-mixed_70p30d-real_pd_nixl_1p3d-r1-rep1.csv,
formal-mixed_70p30d-real_pd_nixl_1p3d-r4-rep1,formal,real_pd_nixl_1p3d,mixed_70p30d,4.0,1,42,success,0,96.065,outputs/metrics/real4gpu/online_formal-mixed_70p30d-real_pd_nixl_1p3d-r4-rep1.csv,
formal-mixed_70p30d-real_pd_nixl_1p3d-r8-rep1,formal,real_pd_nixl_1p3d,mixed_70p30d,8.0,1,42,success,0,108.595,outputs/metrics/real4gpu/online_formal-mixed_70p30d-real_pd_nixl_1p3d-r8-rep1.csv,
formal-mixed_30p70d-real_pd_nixl_2p2d-r1-rep1,formal,real_pd_nixl_2p2d,mixed_30p70d,1.0,1,42,success,0,236.414,outputs/metrics/real4gpu/online_formal-mixed_30p70d-real_pd_nixl_2p2d-r1-rep1.csv,
formal-mixed_30p70d-real_pd_nixl_2p2d-r4-rep1,formal,real_pd_nixl_2p2d,mixed_30p70d,4.0,1,42,success,0,113.43,outputs/metrics/real4gpu/online_formal-mixed_30p70d-real_pd_nixl_2p2d-r4-rep1.csv,
formal-mixed_30p70d-real_pd_nixl_2p2d-r8-rep1,formal,real_pd_nixl_2p2d,mixed_30p70d,8.0,1,42,success,0,105.133,outputs/metrics/real4gpu/online_formal-mixed_30p70d-real_pd_nixl_2p2d-r8-rep1.csv,
formal-mixed_50p50d-real_pd_nixl_2p2d-r1-rep1,formal,real_pd_nixl_2p2d,mixed_50p50d,1.0,1,42,success,0,240.656,outputs/metrics/real4gpu/online_formal-mixed_50p50d-real_pd_nixl_2p2d-r1-rep1.csv,
formal-mixed_50p50d-real_pd_nixl_2p2d-r4-rep1,formal,real_pd_nixl_2p2d,mixed_50p50d,4.0,1,42,success,0,101.204,outputs/metrics/real4gpu/online_formal-mixed_50p50d-real_pd_nixl_2p2d-r4-rep1.csv,
formal-mixed_50p50d-real_pd_nixl_2p2d-r8-rep1,formal,real_pd_nixl_2p2d,mixed_50p50d,8.0,1,42,success,0,92.785,outputs/metrics/real4gpu/online_formal-mixed_50p50d-real_pd_nixl_2p2d-r8-rep1.csv,
formal-mixed_70p30d-real_pd_nixl_2p2d-r1-rep1,formal,real_pd_nixl_2p2d,mixed_70p30d,1.0,1,42,success,0,240.108,outputs/metrics/real4gpu/online_formal-mixed_70p30d-real_pd_nixl_2p2d-r1-rep1.csv,
formal-mixed_70p30d-real_pd_nixl_2p2d-r4-rep1,formal,real_pd_nixl_2p2d,mixed_70p30d,4.0,1,42,success,0,100.274,outputs/metrics/real4gpu/online_formal-mixed_70p30d-real_pd_nixl_2p2d-r4-rep1.csv,
formal-mixed_70p30d-real_pd_nixl_2p2d-r8-rep1,formal,real_pd_nixl_2p2d,mixed_70p30d,8.0,1,42,success,0,85.797,outputs/metrics/real4gpu/online_formal-mixed_70p30d-real_pd_nixl_2p2d-r8-rep1.csv,
formal-mixed_30p70d-real_pd_nixl_3p1d-r1-rep1,formal,real_pd_nixl_3p1d,mixed_30p70d,1.0,1,42,success,0,264.332,outputs/metrics/real4gpu/online_formal-mixed_30p70d-real_pd_nixl_3p1d-r1-rep1.csv,
formal-mixed_30p70d-real_pd_nixl_3p1d-r4-rep1,formal,real_pd_nixl_3p1d,mixed_30p70d,4.0,1,42,success,0,106.055,outputs/metrics/real4gpu/online_formal-mixed_30p70d-real_pd_nixl_3p1d-r4-rep1.csv,
formal-mixed_30p70d-real_pd_nixl_3p1d-r8-rep1,formal,real_pd_nixl_3p1d,mixed_30p70d,8.0,1,42,success,0,96.53,outputs/metrics/real4gpu/online_formal-mixed_30p70d-real_pd_nixl_3p1d-r8-rep1.csv,
formal-mixed_50p50d-real_pd_nixl_3p1d-r1-rep1,formal,real_pd_nixl_3p1d,mixed_50p50d,1.0,1,42,success,0,231.968,outputs/metrics/real4gpu/online_formal-mixed_50p50d-real_pd_nixl_3p1d-r1-rep1.csv,
formal-mixed_50p50d-real_pd_nixl_3p1d-r4-rep1,formal,real_pd_nixl_3p1d,mixed_50p50d,4.0,1,42,success,0,84.373,outputs/metrics/real4gpu/online_formal-mixed_50p50d-real_pd_nixl_3p1d-r4-rep1.csv,
formal-mixed_50p50d-real_pd_nixl_3p1d-r8-rep1,formal,real_pd_nixl_3p1d,mixed_50p50d,8.0,1,42,success,0,83.816,outputs/metrics/real4gpu/online_formal-mixed_50p50d-real_pd_nixl_3p1d-r8-rep1.csv,
formal-mixed_70p30d-real_pd_nixl_3p1d-r1-rep1,formal,real_pd_nixl_3p1d,mixed_70p30d,1.0,1,42,success,0,225.422,outputs/metrics/real4gpu/online_formal-mixed_70p30d-real_pd_nixl_3p1d-r1-rep1.csv,
formal-mixed_70p30d-real_pd_nixl_3p1d-r4-rep1,formal,real_pd_nixl_3p1d,mixed_70p30d,4.0,1,42,success,0,82.517,outputs/metrics/real4gpu/online_formal-mixed_70p30d-real_pd_nixl_3p1d-r4-rep1.csv,
formal-mixed_70p30d-real_pd_nixl_3p1d-r8-rep1,formal,real_pd_nixl_3p1d,mixed_70p30d,8.0,1,42,success,0,69.428,outputs/metrics/real4gpu/online_formal-mixed_70p30d-real_pd_nixl_3p1d-r8-rep1.csv,
