prompt_len,output_len,repeat_id,ttft_ms,total_latency_ms,decode_total_ms,tpot_ms,tokens_per_second,backend,ttft_method,success,error_msg,data_source
128,1,0,30.40790557861328,30.40790557861328,0.0,nan,32.886184726360355,vllm,offline_proxy,True,,measured
128,1,1,31.286954879760742,31.286954879760742,0.0,nan,31.96220290031777,vllm,offline_proxy,True,,measured
128,1,2,32.546043395996094,32.546043395996094,0.0,nan,30.72570105781346,vllm,offline_proxy,True,,measured
128,1,3,32.38248825073242,32.38248825073242,0.0,nan,30.88088822134853,vllm,offline_proxy,True,,measured
128,1,4,33.21194648742676,33.21194648742676,0.0,nan,30.10964745407427,vllm,offline_proxy,True,,measured
128,32,0,35.14909744262695,741.954805329442,706.8057078868151,22.800184125381133,43.129311610552065,vllm,offline_proxy,True,,measured
128,32,1,32.582998275756836,741.0516031086445,708.4686048328876,22.853825962351216,43.1818781118115,vllm,offline_proxy,True,,measured
128,32,2,32.86314010620117,741.2182940170169,708.3551539108157,22.850166255187602,43.172167036753336,vllm,offline_proxy,True,,measured
128,32,3,33.1878662109375,741.756150033325,708.5682838223875,22.857041413625403,43.14086239603451,vllm,offline_proxy,True,,measured
128,32,4,33.01429748535156,741.5014477446675,708.487150259316,22.854424201913417,43.15568108104227,vllm,offline_proxy,True,,measured
128,64,0,33.86950492858887,1472.7398506365716,1438.8703457079828,22.839211836634647,43.456418981490096,vllm,offline_proxy,True,,measured
128,64,1,33.64062309265137,1472.5547228008509,1438.9140997081995,22.839906344574594,43.461882271016556,vllm,offline_proxy,True,,measured
128,64,2,31.055927276611328,1470.9327295422554,1439.876802265644,22.855187337549907,43.509807562658814,vllm,offline_proxy,True,,measured
128,64,3,30.640840530395508,1470.2126486226916,1439.5718080922961,22.850346160195176,43.531117801194114,vllm,offline_proxy,True,,measured
128,64,4,32.77587890625,1472.50324068591,1439.72736177966,22.85281526634381,43.46340179882254,vllm,offline_proxy,True,,measured
