timestamp,gpu_util,memory_used_mb,memory_total_mb
0.005328,0.0,44642.0,49140.0
0.20606,0.0,44642.0,49140.0
0.406688,0.0,44642.0,49140.0
0.607303,54.0,44644.0,49140.0
0.808006,100.0,44644.0,49140.0
1.008861,100.0,44644.0,49140.0
1.209497,100.0,44644.0,49140.0
1.410108,100.0,44644.0,49140.0
1.610712,100.0,44644.0,49140.0
1.811345,100.0,44644.0,49140.0
2.011977,100.0,44644.0,49140.0
2.212606,100.0,44644.0,49140.0
2.413415,100.0,44644.0,49140.0
2.614267,100.0,44644.0,49140.0
2.815284,100.0,44644.0,49140.0
3.016482,100.0,44644.0,49140.0
3.217348,100.0,44644.0,49140.0
3.41819,100.0,44644.0,49140.0
3.619147,100.0,44644.0,49140.0
3.819919,100.0,44644.0,49140.0
4.020841,100.0,44644.0,49140.0
4.221726,100.0,44644.0,49140.0
4.422593,100.0,44644.0,49140.0
4.62334,100.0,44644.0,49140.0
4.824101,100.0,44644.0,49140.0
5.024969,100.0,44644.0,49140.0
5.22581,100.0,44644.0,49140.0
5.426632,100.0,44644.0,49140.0
5.627321,100.0,44644.0,49140.0
5.828164,100.0,44644.0,49140.0
6.029086,100.0,44644.0,49140.0
6.229834,100.0,44644.0,49140.0
6.4307,100.0,44644.0,49140.0
6.631397,100.0,44644.0,49140.0
6.832333,100.0,44644.0,49140.0
7.033344,34.0,44644.0,49140.0
7.234359,100.0,44644.0,49140.0
7.435329,100.0,44644.0,49140.0
7.636135,100.0,44644.0,49140.0
7.83683,100.0,44644.0,49140.0
8.037596,100.0,44644.0,49140.0
8.238396,100.0,44644.0,49140.0
8.439054,100.0,44644.0,49140.0
8.639835,100.0,44644.0,49140.0
8.84063,100.0,44644.0,49140.0
9.041325,100.0,44644.0,49140.0
9.242168,100.0,44644.0,49140.0
9.442817,100.0,44644.0,49140.0
9.643574,100.0,44644.0,49140.0
9.844354,100.0,44644.0,49140.0
10.045188,100.0,44644.0,49140.0
10.245995,100.0,44644.0,49140.0
10.446659,100.0,44644.0,49140.0
10.647507,100.0,44644.0,49140.0
10.84859,100.0,44644.0,49140.0
11.049431,100.0,44644.0,49140.0
11.250412,100.0,44644.0,49140.0
11.451578,100.0,44644.0,49140.0
11.652693,100.0,44644.0,49140.0
11.853748,100.0,44644.0,49140.0
12.054604,100.0,44644.0,49140.0
12.255551,100.0,44644.0,49140.0
12.456424,100.0,44644.0,49140.0
12.657135,100.0,44644.0,49140.0
12.857709,100.0,44644.0,49140.0
13.08297,100.0,44655.9375,49140.0
13.283885,29.0,44906.9375,49140.0
13.484742,33.0,44906.9375,49140.0
13.685434,100.0,44906.9375,49140.0
13.899192,88.0,44906.9375,49140.0
14.100036,100.0,44906.9375,49140.0
14.300906,100.0,44906.9375,49140.0
14.501615,100.0,44906.9375,49140.0
14.702408,100.0,44906.9375,49140.0
14.903192,100.0,44906.9375,49140.0
15.104028,100.0,44906.9375,49140.0
15.304846,100.0,44906.9375,49140.0
15.505627,100.0,44906.9375,49140.0
15.706355,100.0,44906.9375,49140.0
15.907026,100.0,44906.9375,49140.0
16.107762,100.0,44906.9375,49140.0
16.308808,100.0,44906.9375,49140.0
16.510047,100.0,44906.9375,49140.0
16.711166,100.0,44906.9375,49140.0
16.912264,100.0,44906.9375,49140.0
17.113278,100.0,44906.9375,49140.0
17.313986,100.0,44906.9375,49140.0
17.514786,100.0,44906.9375,49140.0
17.71552,100.0,44906.9375,49140.0
17.916297,100.0,44906.9375,49140.0
18.117132,100.0,44906.9375,49140.0
18.317844,100.0,44906.9375,49140.0
18.518565,100.0,44906.9375,49140.0
18.719374,100.0,44906.9375,49140.0
18.920245,100.0,44906.9375,49140.0
19.120962,100.0,44906.9375,49140.0
19.32163,100.0,44906.9375,49140.0
19.522265,100.0,44906.9375,49140.0
19.722931,100.0,44906.9375,49140.0
19.923709,100.0,44906.9375,49140.0
20.124397,100.0,44906.9375,49140.0
20.325017,100.0,44906.9375,49140.0
20.525742,100.0,44906.9375,49140.0
20.72637,100.0,44906.9375,49140.0
20.927032,100.0,44906.9375,49140.0
21.128054,100.0,44906.9375,49140.0
21.329093,100.0,44906.9375,49140.0
21.530177,100.0,44906.9375,49140.0
21.73129,100.0,44906.9375,49140.0
21.932002,100.0,44906.9375,49140.0
22.132815,100.0,44906.9375,49140.0
