workload_name,ratio_p,ratio_d,arrival_rate,kv_transfer_ms,num_requests,avg_ttft_ms,p95_ttft_ms,p99_ttft_ms,avg_tpot_ms,p95_tpot_ms,p99_tpot_ms,avg_total_latency_ms,p95_total_latency_ms,throughput_req_s,throughput_tok_s,goodput_req_s,prefill_util,decode_util,avg_prefill_queue_wait_ms,avg_decode_queue_wait_ms,data_source
mixed_50p50d,1,3,0.5,0.0,200,4846.7994072429765,15961.999421269069,17579.01137978134,23.243960196978765,23.886028854619887,23.886028854619887,9830.106786868715,21651.60079058847,0.49071303796307464,106.77915706076503,0.17665669366670686,0.1257768631540101,0.8151246344533182,28.689392548924875,4561.795522468403,simulated
mixed_50p50d,1,3,0.5,5.0,200,4851.799407242972,15966.999421269064,17584.011379781336,23.243960196978765,23.886028854619887,23.886028854619887,9835.10678686871,21656.600790588465,0.4907070180547851,106.77784712872125,0.17665452649972266,0.12577532016427362,0.8151146347688503,28.689392548924875,4561.795522468403,simulated
mixed_50p50d,1,3,0.5,20.0,200,4866.799407242973,15981.999421269078,17599.01137978135,23.243960196978765,23.886028854619887,23.886028854619887,9850.10678686871,21671.60079058845,0.49068895921608746,106.77391752542063,0.17664802531779147,0.12577069142220265,0.815084637187467,28.689392548924875,4561.795522468402,simulated
mixed_50p50d,1,3,0.5,50.0,200,4896.799407242984,16011.99942126908,17629.011379781354,23.243960196978765,23.886028854619887,23.886028854619887,9880.10678686872,21701.60079058848,0.49065284552597127,106.76605918645136,0.17663502438934967,0.12576143496005812,0.81502464864798,28.689392548924875,4561.795522468402,simulated
mixed_50p50d,1,3,1.0,0.0,200,64382.7973851621,126916.20091652327,131117.9421411392,23.243960196978765,23.886028854619887,23.886028854619887,69366.10476478783,132034.58407508687,0.5954837329709565,129.57726029448014,0.008932255994564348,0.15263111064508347,0.9891594936537498,85.72228945750302,64040.76060347894,simulated
mixed_50p50d,1,3,1.0,5.0,200,64387.797385162085,126921.20091652327,131122.9421411392,23.243960196978765,23.886028854619887,23.886028854619887,69371.10476478781,132039.58407508687,0.5954748680810231,129.57533129443064,0.008932123021215347,0.15262883844532155,0.9891447681632749,85.72228945750302,64040.760603478935,simulated
mixed_50p50d,1,3,1.0,20.0,200,64402.7973851621,126936.20091652326,131137.9421411392,23.243960196978765,23.886028854619887,23.886028854619887,69386.10476478783,132054.58407508687,0.595448274994798,129.56954463886805,0.00893172412492197,0.15262202225192908,0.989100594322331,85.72228945750302,64040.76060347894,simulated
mixed_50p50d,1,3,1.0,50.0,200,64432.7973851621,126966.20091652329,131167.94214113924,23.243960196978765,23.886028854619887,23.886028854619887,69416.10476478783,132084.5840750869,0.5953950959473746,129.55797287814872,0.00893092643921062,0.15260839169139168,0.989012258475842,85.72228945750302,64040.76060347894,simulated
mixed_50p50d,1,3,2.0,0.0,200,114653.402669518,219798.94558733786,222604.8004528161,23.243960196978765,23.886028854619887,23.886028854619887,119636.71004914377,224046.05506739792,0.5958863181235629,129.6648628236873,0.008938294771853443,0.15273429905405136,0.9898282288410536,385.13218756069034,114011.95598973168,simulated
mixed_50p50d,1,3,2.0,5.0,200,114658.402669518,219803.94558733786,222609.8004528161,23.243960196978765,23.886028854619887,23.886028854619887,119641.71004914377,224051.05506739792,0.5958774412432,129.6629312145203,0.008938161618648001,0.1527320237809686,0.9898134834332468,385.13218756069034,114011.95598973166,simulated
mixed_50p50d,1,3,2.0,20.0,200,114673.402669518,219818.94558733786,222624.80045281607,23.243960196978765,23.886028854619887,23.886028854619887,119656.71004914377,224066.05506739792,0.5958508121889003,129.6571367323047,0.008937762182833504,0.15272519836843731,0.9897692498456454,385.13218756069034,114011.95598973166,simulated
mixed_50p50d,1,3,2.0,50.0,200,114703.402669518,219848.94558733783,222654.80045281604,23.243960196978765,23.886028854619887,23.886028854619887,119686.71004914373,224096.0550673979,0.5957975612197874,129.64554932142573,0.008936963418296811,0.15271154937332862,0.9896807945298614,385.13218756069034,114011.95598973168,simulated
mixed_50p50d,1,3,4.0,0.0,200,139790.31914224222,265378.246277167,270809.29725124553,23.243960196978765,23.886028854619887,23.886028854619887,144773.62652186793,270038.0393331179,0.5958863181235629,129.6648628236873,0.008938294771853443,0.15273429905405136,0.9898282288410536,4251.554959539862,135282.4496904767,simulated
