workload_name,prefill_heavy_ratio,decode_heavy_ratio,avg_ttft_ms,p95_ttft_ms,avg_tpot_ms,p95_tpot_ms,p99_tpot_ms,avg_total_latency_ms,p95_total_latency_ms,relative_p95_tpot_vs_decode_only,relative_p95_ttft_vs_decode_only
decode_only_baseline,0.0,1.0,3770.0416964292526,6272.048544883728,68.90281879156244,79.12045367902108,79.12045367902108,30171.313690893585,39080.13874429744,1.0,1.0
mixed_30p70d,0.3,0.7,16511.915147304535,35565.94610214232,97.52348311355392,175.56667861108687,179.70211295703172,52405.79882609392,56582.39020891488,2.2189796752598583,5.669947895179783
mixed_50p50d,0.5,0.5,23033.44556570053,51604.989421367645,122.63787553614911,228.07424265489567,236.496388408118,68530.76931623742,73409.70486004371,2.8826205115071266,8.226903350473046
mixed_70p30d,0.7,0.3,37455.45640389124,65408.23848247528,122.11907471310899,280.46692620378496,286.43625484845217,80345.65946174164,84475.46789404005,3.5448093781362027,10.427426928164554
