workload_name,ratio_p,ratio_d,arrival_rate,kv_transfer_ms,num_requests,avg_ttft_ms,p95_ttft_ms,p99_ttft_ms,avg_tpot_ms,p95_tpot_ms,p99_tpot_ms,avg_total_latency_ms,p95_total_latency_ms,throughput_req_s,throughput_tok_s,goodput_req_s,prefill_util,decode_util,avg_prefill_queue_wait_ms,avg_decode_queue_wait_ms,data_source
mixed_70p30d,1,3,0.5,0.0,200,1297.5563830537278,4903.325261880954,8747.88537797875,23.335133099892026,23.886028854619887,23.886028854619887,5025.743950932706,12205.097384455872,0.48980125902381966,79.62209266691212,0.3697999505629838,0.1550030694347516,0.6086903215413589,35.67373834074376,945.4214952588677,simulated
mixed_70p30d,1,3,0.5,5.0,200,1302.556383053724,4908.325261880956,8752.885377978746,23.335133099892026,23.886028854619887,23.886028854619887,5030.743950932702,12210.097384455868,0.4897952614654264,79.62111770381972,0.3673464460990698,0.15500117144052852,0.6086828682004791,35.67373834074376,945.4214952588675,simulated
mixed_70p30d,1,3,0.5,20.0,200,1317.5563830537246,4923.325261880956,8767.885377978731,23.335133099892026,23.886028854619887,23.886028854619887,5045.743950932703,12225.097384455856,0.48977726967148705,79.61819295779694,0.3673329522536153,0.15499547773673775,0.608660509272983,35.67373834074376,945.4214952588678,simulated
mixed_70p30d,1,3,0.5,50.0,200,1347.5563830537346,4953.325261880951,8797.885377978762,23.335133099892026,23.886028854619887,23.886028854619887,5075.743950932712,12255.097384455883,0.4897412900487042,79.61234411031735,0.3673059675365281,0.15498409158395496,0.608615796345531,35.67373834074376,945.4214952588675,simulated
mixed_70p30d,1,3,1.0,0.0,200,20092.616762588128,50294.5156255463,52374.55071170847,23.335133099892026,23.886028854619887,23.886028854619887,23820.80433046711,53779.74388855248,0.7764984137209218,126.22758213447304,0.089297317577906,0.24573158055542127,0.9649772441706965,75.57869242071945,19700.576920713294,simulated
mixed_70p30d,1,3,1.0,5.0,200,20097.616762588128,50299.51562554629,52379.55071170846,23.335133099892026,23.886028854619887,23.886028854619887,23825.80433046711,53784.743888552475,0.7764833402688718,126.2251317941078,0.08929558413092026,0.24572681039345928,0.9649585119518507,75.57869242071945,19700.576920713294,simulated
mixed_70p30d,1,3,1.0,20.0,200,20112.616762588128,50314.51562554628,52394.550711708456,23.335133099892026,23.886028854619887,23.886028854619887,23840.804330467112,53799.74388855249,0.7764381234238026,126.21778134377334,0.08929038419373729,0.24571250101869396,0.9649023196586352,75.57869242071945,19700.576920713287,simulated
mixed_70p30d,1,3,1.0,50.0,200,20142.616762588124,50344.51562554628,52424.550711708456,23.335133099892026,23.886028854619887,23.886028854619887,23870.8043304671,53829.7438885525,0.7763477055304616,126.20308301103185,0.08927998613600309,0.2456838872682361,0.9647899547033462,75.57869242071945,19700.576920713283,simulated
mixed_70p30d,1,3,2.0,0.0,200,63130.880851755515,138658.66855696109,141221.111937927,23.335133099892026,23.886028854619887,23.886028854619887,66859.0684196345,140373.18822605378,0.7985903265746056,129.81884348796788,0.04392246796160331,0.2527228126907382,0.9924315091212864,247.57171303466401,62566.847989266746,simulated
mixed_70p30d,1,3,2.0,5.0,200,63135.880851755515,138663.6685569611,141226.111937927,23.335133099892026,23.886028854619887,23.886028854619887,66864.0684196345,140378.18822605378,0.7985743832301682,129.81625173789615,0.04392159107765925,0.2527177672416314,0.992411695861779,247.57171303466401,62566.84798926674,simulated
mixed_70p30d,1,3,2.0,20.0,200,63150.880851755515,138678.6685569611,141241.111937927,23.335133099892026,23.886028854619887,23.886028854619887,66879.0684196345,140393.18822605375,0.7985265570162111,129.80847710855528,0.04391896063589161,0.2527026321029885,0.9923522608296813,247.57171303466401,62566.84798926674,simulated
mixed_70p30d,1,3,2.0,50.0,200,63180.880851755515,138708.6685569611,141271.111937927,23.335133099892026,23.886028854619887,23.886028854619887,66909.0684196345,140423.18822605372,0.7984309217719644,129.79293064325054,0.04391370069745804,0.2526723672636659,0.9922334121201307,247.57171303466401,62566.847989266746,simulated
mixed_70p30d,1,3,4.0,0.0,200,87522.34062205709,185346.5801610772,188901.15596061212,23.335133099892026,23.886028854619887,23.886028854619887,91250.52818993607,187007.21736808404,0.7997162049360885,130.00186627441053,0.01999290512340221,0.25307910945115863,0.9938306710246946,8263.917278378332,78941.96219422464,simulated
mixed_70p30d,1,3,4.0,5.0,200,87527.34062205709,185351.58016107726,188906.15596061212,23.335133099892026,23.886028854619887,23.886028854619887,91255.52818993607,187012.21736808404,0.7997002166055307,129.99926721139508,0.019992505415138268,0.2530740497656925,0.9938108018596223,8263.917278378332,78941.96219422464,simulated
mixed_70p30d,1,3,4.0,20.0,200,87542.34062205709,185366.58016107726,188921.15596061212,23.335133099892026,23.886028854619887,23.886028854619887,91270.52818993607,187027.21736808404,0.7996522554493888,129.99147064585264,0.019991306386234718,0.2530588719230906,0.9937511991309326,8263.917278378332,78941.96219422464,simulated
mixed_70p30d,1,3,4.0,50.0,200,87572.34062205709,185396.58016107723,188951.15596061212,23.335133099892026,23.886028854619887,23.886028854619887,91300.5281899361,187057.21736808406,0.7995563503935461,129.97588031997486,0.019988908759838653,0.2530285216988802,0.9936320151186361,8263.917278378332,78941.96219422466,simulated
mixed_70p30d,1,3,8.0,0.0,200,99801.34723648294,208742.94917170674,213528.18273429203,23.335133099892026,23.886028854619887,23.886028854619887,103529.53480436192,210468.42869000838,0.8000746168244851,130.0601297109883,0.016001492336489703,0.25319253288933863,0.9942760799401946,20009.348890794456,79475.53719623435,simulated
mixed_70p30d,1,3,8.0,5.0,200,99806.34723648295,208747.94917170677,213533.18273429206,23.335133099892026,23.886028854619887,23.886028854619887,103534.53480436195,210473.42869000838,0.800058614159756,130.05752831780993,0.01600117228319512,0.2531874686676641,0.9942561929616294,20009.348890794456,79475.53719623435,simulated
mixed_70p30d,1,3,8.0,20.0,200,99821.34723648295,208762.94917170677,213548.18273429203,23.335133099892026,23.886028854619887,23.886028854619887,103549.53480436192,210488.42869000838,0.8000106100062595,130.04972476261753,0.01600021220012519,0.25317227721807006,0.9941965367988719,20009.348890794456,79475.53719623435,simulated
mixed_70p30d,1,3,8.0,50.0,200,99851.34723648295,208792.94917170677,213578.18273429203,23.335133099892026,23.886028854619887,23.886028854619887,103579.53480436192,210518.42869000838,0.7999146189789171,130.03412046121278,0.015998292379578342,0.25314189978722,0.9940772459472833,20009.348890794456,79475.53719623438,simulated
